topic_id,theme
-1,Unclustered / General Political Chatter (BERTopic noise topic)
0,"Middle East: Israel–Gaza, Iran & Region"
1,Trump Assassination Attempt(s)
2,International Affairs — Canada
3,Trump & Trump Family (core)
4,"Healthcare, Vaccines & Public Health"
5,Trump & Trump Family (core)
6,Trump & Trump Family (core)
7,Trump & Trump Family (core)
8,"2024 Election, Polls, Debates & Betting Markets"
9,International Affairs — Russia & Ukraine Conflict
10,State & Local Politics
11,Other / Low-Signal Clusters (mixed or unclear content)
12,Harris–Walz Campaign
13,"2024 Election, Polls, Debates & Betting Markets"
14,Biden Administration & Age/Cognitive Fitness
15,Trump & Trump Family (core)
17,"2024 Election, Polls, Debates & Betting Markets"
18,"2024 Election, Polls, Debates & Betting Markets"
19,"Media, Pundits, Journalists & Commentary"
20,Trump & Trump Family (core)
21,Trump & Trump Family (core)
22,Trump & Trump Family (core)
23,"2024 Election, Polls, Debates & Betting Markets"
24,"Government Officials & Cabinet (RFK, DeSantis, Newsom, etc.)"
25,Biden Administration & Age/Cognitive Fitness
26,Trump & Trump Family (core)
27,"Teamsters, Unions & Labor"
28,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
29,"Crypto, Bitcoin & DOGE"
30,"2024 Election, Polls, Debates & Betting Markets"
31,Trump & Trump Family (core)
32,Harris–Walz Campaign
33,Other / Low-Signal Clusters (mixed or unclear content)
34,"2024 Election, Polls, Debates & Betting Markets"
35,"Congress, Senate & Lawmakers"
36,Trump & Trump Family (core)
37,"International Affairs — Other (Asia, Europe, Global)"
38,"Media, Pundits, Journalists & Commentary"
39,Trump & Trump Family (core)
40,Entertainment & Celebrities
41,Trump & Trump Family (core)
42,Trump & Trump Family (core)
43,Biden Administration & Age/Cognitive Fitness
44,Vance & GOP VP Ticket
45,Biden Administration & Age/Cognitive Fitness
46,"Congress, Senate & Lawmakers"
47,Trump & Trump Family (core)
48,Trump & Trump Family (core)
49,"DOJ, FBI, Courts & Legal (SCOTUS, Immunity, Indictments)"
50,"Media, Pundits, Journalists & Commentary"
51,Trump & Trump Family (core)
52,Trump & Trump Family (core)
53,Trump & Trump Family (core)
54,"Congress, Senate & Lawmakers"
55,"Race, Identity, DEI & Social Justice"
56,"Economy, Tax, Tariffs & Business"
57,Biden Administration & Age/Cognitive Fitness
58,Trump & Trump Family (core)
59,Harris–Walz Campaign
60,Trump & Trump Family (core)
61,Trump & Trump Family (core)
62,"Gender, Women's Issues & Title IX"
63,Other / Low-Signal Clusters (mixed or unclear content)
64,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
65,Harris–Walz Campaign
66,Trump & Trump Family (core)
67,"Media, Pundits, Journalists & Commentary"
68,Trump & Trump Family (core)
69,Trump & Trump Family (core)
70,Sports
71,Biden Administration & Age/Cognitive Fitness
72,Trump & Trump Family (core)
73,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
74,"Media, Pundits, Journalists & Commentary"
75,"Tech, Social Media & Elon Musk"
76,Trump & Trump Family (core)
77,Trump & Trump Family (core)
78,Trump & Trump Family (core)
79,"Economy, Tax, Tariffs & Business"
80,"Crypto, Bitcoin & DOGE"
81,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
82,"Tech, Social Media & Elon Musk"
83,"Media, Pundits, Journalists & Commentary"
85,Trump & Trump Family (core)
86,Trump & Trump Family (core)
87,Trump & Trump Family (core)
88,"Media, Pundits, Journalists & Commentary"
89,Harris–Walz Campaign
90,Trump & Trump Family (core)
91,"Healthcare, Vaccines & Public Health"
92,Trump & Trump Family (core)
93,"2024 Election, Polls, Debates & Betting Markets"
94,Biden Administration & Age/Cognitive Fitness
95,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
96,"2024 Election, Polls, Debates & Betting Markets"
97,Biden Administration & Age/Cognitive Fitness
98,Trump & Trump Family (core)
99,"Congress, Senate & Lawmakers"
100,"2024 Election, Polls, Debates & Betting Markets"
101,"International Affairs — UK, Ireland & Farage/Labour"
102,"2024 Election, Polls, Debates & Betting Markets"
103,Biden Administration & Age/Cognitive Fitness
104,Biden Administration & Age/Cognitive Fitness
105,Other / Low-Signal Clusters (mixed or unclear content)
106,Trump & Trump Family (core)
107,"Congress, Senate & Lawmakers"
108,"Guns, Crime & Violence"
109,Other / Low-Signal Clusters (mixed or unclear content)
110,International Affairs — Russia & Ukraine Conflict
111,State & Local Politics
112,Trump & Trump Family (core)
113,"Congress, Senate & Lawmakers"
114,"2024 Election, Polls, Debates & Betting Markets"
115,Trump & Trump Family (core)
116,"Congress, Senate & Lawmakers"
118,"Government Officials & Cabinet (RFK, DeSantis, Newsom, etc.)"
119,Religion & Faith
120,"Media, Pundits, Journalists & Commentary"
121,"Race, Identity, DEI & Social Justice"
123,"Tech, Social Media & Elon Musk"
124,Trump & Trump Family (core)
125,Harris–Walz Campaign
126,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
127,Harris–Walz Campaign
128,"Congress, Senate & Lawmakers"
129,Biden Administration & Age/Cognitive Fitness
130,Trump & Trump Family (core)
131,"2024 Election, Polls, Debates & Betting Markets"
132,Trump & Trump Family (core)
133,Biden Administration & Age/Cognitive Fitness
134,Trump & Trump Family (core)
135,Trump & Trump Family (core)
136,"Congress, Senate & Lawmakers"
137,Entertainment & Celebrities
138,Trump & Trump Family (core)
139,Trump & Trump Family (core)
140,"Media, Pundits, Journalists & Commentary"
141,Trump & Trump Family (core)
142,Trump & Trump Family (core)
143,Trump & Trump Family (core)
144,"DOJ, FBI, Courts & Legal (SCOTUS, Immunity, Indictments)"
145,Religion & Faith
146,"2024 Election, Polls, Debates & Betting Markets"
147,"Media, Pundits, Journalists & Commentary"
148,"DOJ, FBI, Courts & Legal (SCOTUS, Immunity, Indictments)"
149,Trump & Trump Family (core)
150,Trump & Trump Family (core)
151,Trump & Trump Family (core)
152,Trump & Trump Family (core)
153,Trump Assassination Attempt(s)
154,"2024 Election, Polls, Debates & Betting Markets"
155,Harris–Walz Campaign
156,"Race, Identity, DEI & Social Justice"
157,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
158,"Economy, Tax, Tariffs & Business"
159,"2024 Election, Polls, Debates & Betting Markets"
160,Trump & Trump Family (core)
161,Trump & Trump Family (core)
162,"Guns, Crime & Violence"
163,Trump & Trump Family (core)
164,Trump & Trump Family (core)
165,Harris–Walz Campaign
166,Trump & Trump Family (core)
167,"Media, Pundits, Journalists & Commentary"
168,Trump & Trump Family (core)
169,"Media, Pundits, Journalists & Commentary"
170,"Congress, Senate & Lawmakers"
171,"DOJ, FBI, Courts & Legal (SCOTUS, Immunity, Indictments)"
172,Biden Administration & Age/Cognitive Fitness
173,"Race, Identity, DEI & Social Justice"
174,"2024 Election, Polls, Debates & Betting Markets"
175,"2024 Election, Polls, Debates & Betting Markets"
176,"2024 Election, Polls, Debates & Betting Markets"
177,Trump & Trump Family (core)
178,Trump & Trump Family (core)
179,Trump & Trump Family (core)
180,"Media, Pundits, Journalists & Commentary"
181,"Congress, Senate & Lawmakers"
182,Biden Administration & Age/Cognitive Fitness
183,Harris–Walz Campaign
184,"Congress, Senate & Lawmakers"
185,Immigration & Border
186,Trump & Trump Family (core)
187,Trump & Trump Family (core)
188,Trump & Trump Family (core)
189,Trump & Trump Family (core)
190,"2024 Election, Polls, Debates & Betting Markets"
191,"Congress, Senate & Lawmakers"
192,Harris–Walz Campaign
193,Trump & Trump Family (core)
194,Religion & Faith
195,International Affairs — Canada
196,"2024 Election, Polls, Debates & Betting Markets"
197,Trump & Trump Family (core)
198,Other / Low-Signal Clusters (mixed or unclear content)
199,"Abortion, Reproductive Rights & IVF"
200,Trump & Trump Family (core)
201,Trump & Trump Family (core)
202,Biden Administration & Age/Cognitive Fitness
203,"Middle East: Israel–Gaza, Iran & Region"
204,Trump & Trump Family (core)
205,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
206,Immigration & Border
207,Trump & Trump Family (core)
208,Other / Low-Signal Clusters (mixed or unclear content)
209,Trump & Trump Family (core)
210,Trump & Trump Family (core)
211,"2024 Election, Polls, Debates & Betting Markets"
212,Trump & Trump Family (core)
213,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
214,Biden Administration & Age/Cognitive Fitness
215,Trump & Trump Family (core)
216,"Economy, Tax, Tariffs & Business"
217,Trump Assassination Attempt(s)
218,"Congress, Senate & Lawmakers"
219,"Tech, Social Media & Elon Musk"
220,Trump & Trump Family (core)
221,Trump & Trump Family (core)
222,"Congress, Senate & Lawmakers"
223,"Congress, Senate & Lawmakers"
224,Other / Low-Signal Clusters (mixed or unclear content)
225,Trump & Trump Family (core)
226,Casual / Everyday Chatter (non-political filler)
227,International Affairs — Russia & Ukraine Conflict
228,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
229,Other / Low-Signal Clusters (mixed or unclear content)
230,"Congress, Senate & Lawmakers"
231,"Media, Pundits, Journalists & Commentary"
232,Vance & GOP VP Ticket
233,Trump & Trump Family (core)
234,"2024 Election, Polls, Debates & Betting Markets"
235,International Affairs — Australia & NZ
236,Trump & Trump Family (core)
238,"2024 Election, Polls, Debates & Betting Markets"
239,Trump & Trump Family (core)
240,"International Affairs — Other (Asia, Europe, Global)"
241,Trump & Trump Family (core)
242,"Race, Identity, DEI & Social Justice"
243,Biden Administration & Age/Cognitive Fitness
244,Trump & Trump Family (core)
245,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
246,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
247,Trump & Trump Family (core)
248,Other / Low-Signal Clusters (mixed or unclear content)
249,Trump & Trump Family (core)
250,"2024 Election, Polls, Debates & Betting Markets"
251,"Tech, Social Media & Elon Musk"
252,Trump & Trump Family (core)
253,"DOJ, FBI, Courts & Legal (SCOTUS, Immunity, Indictments)"
254,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
255,"DOJ, FBI, Courts & Legal (SCOTUS, Immunity, Indictments)"
256,"2024 Election, Polls, Debates & Betting Markets"
257,Trump & Trump Family (core)
258,Trump & Trump Family (core)
259,"Middle East: Israel–Gaza, Iran & Region"
260,Biden Administration & Age/Cognitive Fitness
261,Trump & Trump Family (core)
262,"International Affairs — Other (Asia, Europe, Global)"
263,Trump Assassination Attempt(s)
264,Trump & Trump Family (core)
265,Trump & Trump Family (core)
266,"2024 Election, Polls, Debates & Betting Markets"
267,Trump & Trump Family (core)
268,"Military, Veterans & Foreign Wars (Afghanistan Withdrawal)"
269,"2024 Election, Polls, Debates & Betting Markets"
270,Trump & Trump Family (core)
271,Trump & Trump Family (core)
272,Religion & Faith
273,Biden Administration & Age/Cognitive Fitness
274,Trump & Trump Family (core)
275,Trump & Trump Family (core)
276,"2024 Election, Polls, Debates & Betting Markets"
277,"Government Officials & Cabinet (RFK, DeSantis, Newsom, etc.)"
278,Other / Low-Signal Clusters (mixed or unclear content)
279,Vance & GOP VP Ticket
280,"Media, Pundits, Journalists & Commentary"
281,"DOJ, FBI, Courts & Legal (SCOTUS, Immunity, Indictments)"
282,Trump & Trump Family (core)
283,"2024 Election, Polls, Debates & Betting Markets"
284,Sports
285,Biden Administration & Age/Cognitive Fitness
286,"Economy, Tax, Tariffs & Business"
287,Trump & Trump Family (core)
288,Trump & Trump Family (core)
289,International Affairs — Russia & Ukraine Conflict
290,Trump & Trump Family (core)
291,Trump & Trump Family (core)
292,Trump & Trump Family (core)
293,"International Affairs — Other (Asia, Europe, Global)"
294,Trump Assassination Attempt(s)
295,Trump & Trump Family (core)
296,Religion & Faith
297,Trump & Trump Family (core)
298,Biden Administration & Age/Cognitive Fitness
299,Trump & Trump Family (core)
300,Entertainment & Celebrities
301,Trump & Trump Family (core)
302,Trump & Trump Family (core)
303,"2024 Election, Polls, Debates & Betting Markets"
304,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
305,"Congress, Senate & Lawmakers"
306,Trump & Trump Family (core)
307,"2024 Election, Polls, Debates & Betting Markets"
308,"2024 Election, Polls, Debates & Betting Markets"
309,Biden Administration & Age/Cognitive Fitness
310,Trump & Trump Family (core)
311,"2024 Election, Polls, Debates & Betting Markets"
312,Trump & Trump Family (core)
313,Trump & Trump Family (core)
314,Trump & Trump Family (core)
315,Other / Low-Signal Clusters (mixed or unclear content)
316,Trump & Trump Family (core)
317,Trump & Trump Family (core)
318,"Congress, Senate & Lawmakers"
319,"Media, Pundits, Journalists & Commentary"
320,Trump & Trump Family (core)
321,"2024 Election, Polls, Debates & Betting Markets"
322,Trump Assassination Attempt(s)
323,Other / Low-Signal Clusters (mixed or unclear content)
324,Trump & Trump Family (core)
325,Trump & Trump Family (core)
326,Trump & Trump Family (core)
327,Trump & Trump Family (core)
328,"DOJ, FBI, Courts & Legal (SCOTUS, Immunity, Indictments)"
329,Other / Low-Signal Clusters (mixed or unclear content)
330,Trump & Trump Family (core)
331,Other / Low-Signal Clusters (mixed or unclear content)
332,Entertainment & Celebrities
333,Trump & Trump Family (core)
334,Trump & Trump Family (core)
335,Biden Administration & Age/Cognitive Fitness
336,Harris–Walz Campaign
337,"Media, Pundits, Journalists & Commentary"
338,Biden Administration & Age/Cognitive Fitness
339,Biden Administration & Age/Cognitive Fitness
340,Trump & Trump Family (core)
341,Trump & Trump Family (core)
342,Trump & Trump Family (core)
343,Trump & Trump Family (core)
344,Trump & Trump Family (core)
345,Trump & Trump Family (core)
346,"Government Officials & Cabinet (RFK, DeSantis, Newsom, etc.)"
347,"Congress, Senate & Lawmakers"
348,"2024 Election, Polls, Debates & Betting Markets"
349,Other / Low-Signal Clusters (mixed or unclear content)
350,Harris–Walz Campaign
351,Trump & Trump Family (core)
352,Trump & Trump Family (core)
353,Other / Low-Signal Clusters (mixed or unclear content)
354,Trump & Trump Family (core)
355,Vance & GOP VP Ticket
356,"Congress, Senate & Lawmakers"
357,"Congress, Senate & Lawmakers"
358,"Media, Pundits, Journalists & Commentary"
359,Trump & Trump Family (core)
360,Trump & Trump Family (core)
361,Trump & Trump Family (core)
362,Other / Low-Signal Clusters (mixed or unclear content)
363,"Gender, Women's Issues & Title IX"
364,"2024 Election, Polls, Debates & Betting Markets"
365,"Congress, Senate & Lawmakers"
366,"Congress, Senate & Lawmakers"
367,Sports
368,International Affairs — Australia & NZ
369,"Media, Pundits, Journalists & Commentary"
370,Trump & Trump Family (core)
371,Trump & Trump Family (core)
372,"Gender, Women's Issues & Title IX"
373,"Media, Pundits, Journalists & Commentary"
374,Trump & Trump Family (core)
375,"2024 Election, Polls, Debates & Betting Markets"
376,Other / Low-Signal Clusters (mixed or unclear content)
377,Trump & Trump Family (core)
378,Other / Low-Signal Clusters (mixed or unclear content)
379,Entertainment & Celebrities
380,Trump & Trump Family (core)
381,Trump & Trump Family (core)
382,Trump & Trump Family (core)
383,Other / Low-Signal Clusters (mixed or unclear content)
384,Trump & Trump Family (core)
385,Casual / Everyday Chatter (non-political filler)
386,"2024 Election, Polls, Debates & Betting Markets"
387,Trump & Trump Family (core)
388,"Congress, Senate & Lawmakers"
389,Other / Low-Signal Clusters (mixed or unclear content)
390,Trump & Trump Family (core)
391,Biden Administration & Age/Cognitive Fitness
392,Other / Low-Signal Clusters (mixed or unclear content)
393,"Congress, Senate & Lawmakers"
394,Trump & Trump Family (core)
395,"Media, Pundits, Journalists & Commentary"
396,Other / Low-Signal Clusters (mixed or unclear content)
397,Biden Administration & Age/Cognitive Fitness
398,Trump & Trump Family (core)
399,Other / Low-Signal Clusters (mixed or unclear content)
400,"2024 Election, Polls, Debates & Betting Markets"
401,"2024 Election, Polls, Debates & Betting Markets"
402,"DOJ, FBI, Courts & Legal (SCOTUS, Immunity, Indictments)"
403,Trump & Trump Family (core)
404,International Affairs — Russia & Ukraine Conflict
405,Natural Disasters & FEMA Response
406,"Media, Pundits, Journalists & Commentary"
407,Sports
408,"2024 Election, Polls, Debates & Betting Markets"
409,Trump & Trump Family (core)
410,"Economy, Tax, Tariffs & Business"
411,"Economy, Tax, Tariffs & Business"
412,"2024 Election, Polls, Debates & Betting Markets"
413,Other / Low-Signal Clusters (mixed or unclear content)
414,"2024 Election, Polls, Debates & Betting Markets"
415,Trump & Trump Family (core)
416,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
417,Trump & Trump Family (core)
418,"2024 Election, Polls, Debates & Betting Markets"
419,Trump & Trump Family (core)
420,Other / Low-Signal Clusters (mixed or unclear content)
421,"2024 Election, Polls, Debates & Betting Markets"
422,Trump & Trump Family (core)
423,"Government Officials & Cabinet (RFK, DeSantis, Newsom, etc.)"
424,Sports
425,"Media, Pundits, Journalists & Commentary"
426,Trump & Trump Family (core)
427,"Congress, Senate & Lawmakers"
428,International Affairs — Canada
429,"2024 Election, Polls, Debates & Betting Markets"
430,Biden Administration & Age/Cognitive Fitness
431,International Affairs — Russia & Ukraine Conflict
432,Trump Assassination Attempt(s)
433,Trump & Trump Family (core)
434,"2024 Election, Polls, Debates & Betting Markets"
435,Trump & Trump Family (core)
436,Other / Low-Signal Clusters (mixed or unclear content)
437,"2024 Election, Polls, Debates & Betting Markets"
438,Biden Administration & Age/Cognitive Fitness
439,Trump & Trump Family (core)
440,Trump & Trump Family (core)
441,Other / Low-Signal Clusters (mixed or unclear content)
442,"Economy, Tax, Tariffs & Business"
443,"Crypto, Bitcoin & DOGE"
444,International Affairs — Russia & Ukraine Conflict
445,"Congress, Senate & Lawmakers"
446,"International Affairs — UK, Ireland & Farage/Labour"
447,"Tech, Social Media & Elon Musk"
448,Trump & Trump Family (core)
449,Other / Low-Signal Clusters (mixed or unclear content)
451,Other / Low-Signal Clusters (mixed or unclear content)
452,Trump & Trump Family (core)
453,"Race, Identity, DEI & Social Justice"
454,Religion & Faith
455,"2024 Election, Polls, Debates & Betting Markets"
456,"Congress, Senate & Lawmakers"
457,Trump & Trump Family (core)
458,"2024 Election, Polls, Debates & Betting Markets"
459,Biden Administration & Age/Cognitive Fitness
460,Trump & Trump Family (core)
